q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,2,0.2200695296783508,0.017773655841827947,9-10;10-12,l1_fixed,True,dry_bean_uci,dry_bean_uci,89,89
4,0.7,3,0.2192137387962174,0.017816549046756308,1-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,89,89
8,0.9,6,0.2178796076481563,0.017740287103637127,1-12;3-12;7-12;9-10;9-10-12;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,89,89
8,0.6,8,0.21542598840356889,0.017579729901798596,1-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,89,89
16,0.9,13,0.21376488604162916,0.0174943713297987,1-3-12;1-12;2-12;3-7-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,89,89
16,0.8,14,0.21317649825261736,0.017439278406770186,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,89,89
16,0.6,15,0.21236512367938765,0.01739718705147122,1-3-12;1-9-10;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,89,89
4,0.9,1,0.22333817591513638,0.017746022589256293,10-12,shil,True,dry_bean_uci,dry_bean_uci,89,89
8,0.9,2,0.2205098729797458,0.017660636666545868,3-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,89,89
8,0.8,3,0.2200825580233452,0.017637607629294803,3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,89,89
8,0.6,6,0.2172250515451945,0.017703280855439128,0-12;1-9-10;3-12;6-12;9-10;10-12,shil,False,dry_bean_uci,dry_bean_uci,89,89
16,0.9,9,0.21803381609174127,0.017781826687309772,0-12;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,89,89
16,0.8,11,0.21467526819056132,0.017456524564415814,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,89,89
16,0.7,12,0.21621533892983327,0.017496657003751383,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,89,89
16,0.6,13,0.2160869278228383,0.01748840623762314,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;9-10-15;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,89,89
