q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,1,0.21052313871627804,0.012698621389500897,9-10,l1_fixed,True,dry_bean_uci,dry_bean_uci,101,101
4,0.8,2,0.20874411355023795,0.012608521631622112,9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,101,101
4,0.7,4,0.20666639240938084,0.012608037136067469,1-12;3-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,101,101
8,0.9,7,0.20415588539205518,0.012393136617223022,1-12;3-12;4-11-14;7-12;9-10;9-10-12;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,101,101
8,0.7,8,0.2036863078920674,0.012333647742609944,1-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,101,101
16,0.9,14,0.19977425042358601,0.012084061934493835,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,101,101
16,0.6,16,0.2001526468111966,0.01214963436867151,1-3-12;1-9-10;1-12;2-12;3-7-12;3-12;4-5-11;4-5-14;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,101,101
4,0.9,1,0.21400494331032785,0.012565085465323962,10-12,shil,False,dry_bean_uci,dry_bean_uci,101,101
4,0.8,2,0.21164790805382125,0.012556327245070342,3-12;10-12,shil,True,dry_bean_uci,dry_bean_uci,101,101
8,0.9,4,0.21089936906525722,0.01252034526798809,1-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,101,101
8,0.7,5,0.21079601238311046,0.01247918055138872,0-12;1-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,101,101
8,0.6,7,0.20837293583847483,0.012642552513809,0-12;1-9-10;1-12;3-10;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,101,101
16,0.9,9,0.20538861637791636,0.012414627794554555,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,101,101
16,0.8,10,0.20488110378967325,0.012482473412442074,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,101,101
16,0.7,11,0.2034924145558238,0.01239367367090331,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-15,shil,False,dry_bean_uci,dry_bean_uci,101,101
16,0.6,12,0.2004557667865396,0.012043996250742888,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,101,101
