q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,2,0.2110518846456989,0.011751235334933193,1-12;9-10,l1_fixed,True,dry_bean_uci,dry_bean_uci,71,71
4,0.8,3,0.2105758607434726,0.01182903437734796,1-12;3-12;9-10,l1_fixed,False,dry_bean_uci,dry_bean_uci,71,71
4,0.7,4,0.20904545499825852,0.011809148511252332,1-12;3-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,71,71
8,0.9,5,0.20877728013825492,0.011807722383874043,1-12;3-12;7-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,71,71
8,0.8,6,0.20840862210186534,0.011823364822284042,1-12;3-12;4-11-14;7-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,71,71
8,0.7,8,0.20742911098090164,0.011832153114833656,1-12;3-12;4-11-14;7-12;9-10;9-10-12;10-12;12-13,l1_fixed,False,dry_bean_uci,dry_bean_uci,71,71
16,0.9,12,0.2062203779597584,0.011848201936131392,1-3-12;1-12;2-12;3-7-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13,l1_fixed,False,dry_bean_uci,dry_bean_uci,71,71
16,0.7,14,0.20569833404644244,0.011774297240416487,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,71,71
4,0.9,1,0.21886989407611404,0.01165458078245417,10-12,shil,True,dry_bean_uci,dry_bean_uci,71,71
4,0.6,3,0.21374449558915945,0.01162064942345849,3-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,71,71
8,0.9,4,0.21564057876114628,0.01165463295066159,0-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,71,71
8,0.8,5,0.21314045207560076,0.011610630629519414,0-12;3-12;6-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,71,71
8,0.7,6,0.21327228351027028,0.011608024477854863,0-12;1-12;3-12;6-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,71,71
16,0.9,8,0.2078289357919976,0.011699155141101281,0-12;1-12;3-12;6-12;7-12;9-10;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,71,71
16,0.8,10,0.2081879118804965,0.011783259773980858,0-12;1-12;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,71,71
16,0.7,11,0.20814636320847008,0.011795060354193582,0-12;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,71,71
16,0.6,12,0.20843261149725612,0.011841539129461778,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,71,71
