dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,chosen_q,chosen_pi,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling,selection_seconds,base_fit_count,selected_c,warning_count,execution_order,fit_unit
dry_bean_uci,dry_bean_uci,11,11,SC-L1-fixed-C,16,680,3,0.1977782599860802,0.0010769289801828,343404544,0.9206757253029748,0.9365286732202296,0.2180512126454875,0.9941971157948004,,,,,,,,4,0.9,3,3,0.2129095724507422,0.0123662496609918,0.2229835996598323,5463.448226612993,80,1.0,0,1,logistic_fit
dry_bean_uci,dry_bean_uci,11,11,SC-SHIL-contemporary,16,680,2,0.2100048819556832,0.000988888030406,301465600,0.919573999265516,0.9358063228048812,0.2229275707071375,0.9939154440040464,,,,,,,,4,0.9,2,2,0.2173160642515644,0.0122855207604799,0.227092157482546,334.42308601900004,80,,0,2,screening_optimization
dry_bean_uci,dry_bean_uci,23,23,SC-L1-fixed-C,16,680,2,0.1656854039756581,0.0010491280118003,348069888,0.9170033051781123,0.9321585535682992,0.22287713461274,0.9943469437798208,,,,,,,,4,0.9,1,2,0.2007949491893874,0.0116330985282724,0.2078610343332709,5172.274762399029,80,1.0,0,2,logistic_fit
dry_bean_uci,dry_bean_uci,23,23,SC-SHIL-contemporary,16,680,2,0.2173783880425617,0.0010185290011577,287739904,0.914799853103195,0.9310604313175188,0.2274561176620203,0.994019909405754,,,,,,,,4,0.9,1,2,0.2071442974593385,0.0118979343899296,0.2082533846480539,342.7015791889862,80,,0,1,screening_optimization
dry_bean_uci,dry_bean_uci,37,37,SC-L1-fixed-C,16,680,2,0.1991007269825786,0.0010079680359922,343830528,0.9269188395152406,0.938025241226723,0.2136732825371405,0.9949238747075004,,,,,,,,4,0.9,1,2,0.1812436073736175,0.0108479125919896,0.1913496158970998,5005.187275314995,80,1.0,0,1,logistic_fit
dry_bean_uci,dry_bean_uci,37,37,SC-SHIL-contemporary,16,680,2,0.2052638179739006,0.0010101280058734,301518848,0.9239809034153508,0.9368966376663804,0.2164809488411641,0.994695170562807,,,,,,,,4,0.9,2,2,0.1868043153125964,0.0113855501950811,0.1921400381102943,338.8218270110083,80,,0,2,screening_optimization
dry_bean_uci,dry_bean_uci,53,53,SC-L1-fixed-C,16,680,2,0.2110239390167407,0.0009616080205887,367575040,0.929122291590158,0.9389481002376612,0.1957451422811863,0.9956304632412616,,,,,,,,4,0.9,1,2,0.1996989164688333,0.0109493771316051,0.2022123276905936,5029.87713414093,80,1.0,0,2,logistic_fit
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,16,680,11,0.2261486679781228,0.0014433730393648,300924928,0.929122291590158,0.93850259383862,0.1926350347530335,0.9957067448775656,,,,,,,,16,0.8,9,11,0.1954406259431442,0.0109055999750575,0.2029856228159781,358.93379763903795,80,,0,1,screening_optimization
dry_bean_uci,dry_bean_uci,71,71,SC-L1-fixed-C,16,680,2,0.1791218629805371,0.0009728490258567,344055808,0.9320602276900476,0.9438740473338516,0.1857545544751002,0.9961360253955472,,,,,,,,4,0.9,2,2,0.2110518846456989,0.0117512353349331,0.2174726312868589,5201.144320719992,80,1.0,0,1,logistic_fit
dry_bean_uci,dry_bean_uci,71,71,SC-SHIL-contemporary,16,680,2,0.2081935929600149,0.00098724901909,302141440,0.9287550495776716,0.941440856076668,0.1940587003658231,0.9957378988858464,,,,,,,,4,0.9,1,2,0.218869894076114,0.0116545807824541,0.2195280909330988,342.617130261031,80,,0,2,screening_optimization
dry_bean_uci,dry_bean_uci,89,89,SC-L1-fixed-C,16,680,3,0.1865974080283194,0.0010775289847515,368476160,0.9309585016525892,0.9410381058599868,0.1794497734135977,0.9963765966456064,,,,,,,,4,0.9,2,3,0.2200695296783508,0.0177736558418279,0.2297623107308588,5089.662844587001,80,1.0,0,2,logistic_fit
dry_bean_uci,dry_bean_uci,89,89,SC-SHIL-contemporary,16,680,1,0.2003197660087607,0.0009752089972607,301850624,0.9269188395152406,0.9372213573876244,0.1914396443348623,0.9958833783160024,,,,,,,,4,0.9,1,1,0.2233381759151363,0.0177460225892562,0.2321317927549771,360.1925397000159,80,,0,1,screening_optimization
dry_bean_uci,dry_bean_uci,101,101,SC-L1-fixed-C,16,680,2,0.2102372149820439,0.0010346489725634,344064000,0.926184355490268,0.9369201771162003,0.2057977196157119,0.9952966943542684,,,,,,,,4,0.9,1,2,0.210523138716278,0.0126986213895008,0.2118583123580798,5056.764940991008,80,1.0,0,1,logistic_fit
dry_bean_uci,dry_bean_uci,101,101,SC-SHIL-contemporary,16,680,2,0.2056195720215328,0.0010848499950952,301178880,0.9236136614028644,0.9349707382659284,0.212773087673781,0.9950293548440128,,,,,,,,4,0.8,2,2,0.2116479080538212,0.0125563272450703,0.2124997630372825,363.11849935801,80,,0,2,screening_optimization
dry_bean_uci,dry_bean_uci,131,131,SC-L1-fixed-C,16,680,2,0.2155116560170427,0.0010239689727313,345210880,0.9298567756151304,0.9411220706954204,0.19045383144243,0.9960575122890644,,,,,,,,4,0.9,2,2,0.2005905001533823,0.0106977364710568,0.2070186208739997,5191.379612910037,80,1.0,0,2,logistic_fit
dry_bean_uci,dry_bean_uci,131,131,SC-SHIL-contemporary,16,680,2,0.1915229149744846,0.0010462499922141,301178880,0.9272860815277268,0.9388544238265256,0.192663696085912,0.9959221386683328,,,,,,,,4,0.8,2,2,0.2040173306202305,0.0106192434415935,0.2061991070489942,345.414844406012,80,,0,1,screening_optimization
dry_bean_uci,dry_bean_uci,157,157,SC-L1-fixed-C,16,680,2,0.1833272859803401,0.0010040900087915,344252416,0.9239809034153508,0.9362352374732276,0.1983495339895112,0.9953273334095234,,,,,,,,4,0.9,1,2,0.2023426602238023,0.0171223168452186,0.217292782535538,5072.294233410037,80,1.0,0,1,logistic_fit
dry_bean_uci,dry_bean_uci,157,157,SC-SHIL-contemporary,16,680,2,0.2028083460172638,0.0011498499661684,288354304,0.9217774513404332,0.9340053588356882,0.2029627368290559,0.995088085376554,,,,,,,,4,0.9,1,2,0.209555785024289,0.0171861126586549,0.2161262620685264,357.3690283839824,80,,0,2,screening_optimization
dry_bean_uci,dry_bean_uci,181,181,SC-L1-fixed-C,16,680,1,0.1916480340296402,0.0009871689835563,368279552,0.922879177377892,0.9327938145234828,0.2428778685393018,0.9939862459731434,,,,,,,,4,0.9,2,1,0.2056499184968039,0.0131097923197182,0.2187597108165221,4847.692851107975,80,1.0,0,2,logistic_fit
dry_bean_uci,dry_bean_uci,181,181,SC-SHIL-contemporary,16,680,2,0.1841444480232894,0.0009964490309357,301645824,0.9225119353654058,0.9325403957608714,0.2467159596080287,0.9935708620396912,,,,,,,,4,0.9,1,2,0.211945081962826,0.0133014734654571,0.2148695891683126,339.73117429495323,80,,0,1,screening_optimization
