q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,1,0.20079494918938742,0.011633098528272413,9-10,l1_fixed,True,dry_bean_uci,dry_bean_uci,23,23
4,0.8,2,0.19840208852392058,0.01151013481816221,9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,23,23
4,0.7,3,0.19828271293093452,0.011572868200106442,1-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,23,23
8,0.9,6,0.1963373739013008,0.011523660431970135,1-12;3-12;7-12;9-10;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,23,23
8,0.8,8,0.19879441382392216,0.012052266139564978,1-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,23,23
16,0.9,13,0.19767115741793762,0.011971010951250105,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13,l1_fixed,False,dry_bean_uci,dry_bean_uci,23,23
16,0.6,14,0.1974480593144937,0.011965878816437684,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-5-14;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13,l1_fixed,False,dry_bean_uci,dry_bean_uci,23,23
4,0.9,1,0.20714429745933857,0.011897934389929636,10-12,shil,True,dry_bean_uci,dry_bean_uci,23,23
4,0.6,2,0.20585908442691636,0.011899605357642437,3-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,23,23
8,0.9,4,0.20607620746320102,0.011991150939436484,0-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,23,23
8,0.7,5,0.2057912408272737,0.011957098252943346,0-12;1-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,23,23
16,0.9,7,0.20663868588189307,0.012471868390923511,0-12;1-12;3-12;6-12;7-12;9-10-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,23,23
16,0.8,10,0.19655751378711955,0.01179935889551118,0-12;1-12;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,23,23
16,0.7,11,0.1964513745860354,0.011802010062018562,0-12;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,23,23
16,0.6,14,0.20120762862067704,0.012567616414588345,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;9-10-15;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,23,23
