q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,2,0.18680431531259648,0.01138555019508115,3-12;10-12,shil,True,dry_bean_uci,dry_bean_uci,37,37
8,0.9,5,0.18697619484687178,0.0114466348966206,0-12;1-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,37,37
8,0.6,6,0.1831292800357134,0.010936480257754849,0-12;1-12;3-12;6-12;10-12;10-15,shil,False,dry_bean_uci,dry_bean_uci,37,37
16,0.9,9,0.18098926098981266,0.011150777120481665,0-12;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,37,37
16,0.8,11,0.1810035414232561,0.011342537933995346,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-15,shil,False,dry_bean_uci,dry_bean_uci,37,37
16,0.7,12,0.18184689882860616,0.01151873878049571,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,37,37
16,0.6,14,0.18226350604266203,0.01153293508928782,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;9-10-15;9-15;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,37,37
4,0.9,1,0.18124360737361758,0.010847912591989629,9-10,l1,True,dry_bean_uci,dry_bean_uci,37,37
4,0.8,2,0.18010989070036715,0.010923437003242298,3-12;9-10,l1,False,dry_bean_uci,dry_bean_uci,37,37
4,0.6,3,0.18004237491309996,0.011006996499993685,1-12;3-12;9-10,l1,False,dry_bean_uci,dry_bean_uci,37,37
8,0.9,6,0.181031561298384,0.011172211634382706,1-12;3-12;7-12;9-10;9-10-12;10-12,l1,False,dry_bean_uci,dry_bean_uci,37,37
8,0.8,7,0.180689012578699,0.011142430879412015,1-12;3-12;7-12;9-10;9-10-12;9-15;10-12,l1,False,dry_bean_uci,dry_bean_uci,37,37
8,0.6,8,0.18221124502709513,0.011738399353979018,1-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12,l1,False,dry_bean_uci,dry_bean_uci,37,37
16,0.9,12,0.18126242472148976,0.011709741380625582,1-3-12;1-12;2-12;3-7-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13,l1,False,dry_bean_uci,dry_bean_uci,37,37
16,0.8,13,0.18047734966707624,0.01158956176884054,1-3-12;1-12;2-12;3-7-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,37,37
16,0.7,14,0.1798960741007291,0.011637809287433859,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,37,37
