scenario,model,n,support_f1_mean,support_f1_sd,false_inclusions_mean,support_size_mean,log_loss_mean,log_loss_sd,macro_f1_mean,runtime_mean,peak_rss_mean
S01,L1-full,10,0.15103970511718817,0.051206262437405975,57.9,60.9,0.2822950118942028,0.05622913317005944,0.8822943726422622,0.552251989999786,243446169.6
S01,L1-match,10,1.0,0.0,0.0,3.0,0.22549170691963374,0.016732884087523395,0.8964033552844096,0.552251989999786,243493683.2
S01,L1-top8,10,0.5454545454545454,0.0,5.0,8.0,0.23367738912315145,0.017554488578914024,0.8962245961360662,0.552251989999786,243486720.0
S01,SC-L1,10,1.0,0.0,0.0,3.0,0.22549170691963374,0.016732884087523395,0.8964033552844096,14.902353180004866,298334208.0
S01,SC-SHIL,10,1.0,0.0,0.0,3.0,0.22549170691963374,0.016732884087523395,0.8964033552844096,19.066771800006972,264529100.8
S01,SHIL-k8,10,0.5454545454545454,0.0,5.0,8.0,0.22911387828974705,0.017554390080764114,0.8940833577749961,0.4722513299959246,243496550.4
S02,L1-full,10,0.10369063036468178,0.01182057362636399,52.6,55.6,0.34651333569337994,0.03030198278200619,0.8374737717384978,0.6653247700014617,214304768.0
S02,L1-match,10,1.0,0.0,0.0,3.0,0.2998871837411926,0.01905046870461876,0.8521019992257293,0.6653247700014617,214326476.8
S02,L1-top8,10,0.5454545454545454,0.0,5.0,8.0,0.30920094481035415,0.021854941097971224,0.8456803044742829,0.6653247700014617,214319104.0
S02,SC-L1,10,1.0,0.0,0.0,3.0,0.2998871837411926,0.01905046870461876,0.8521019992257293,16.44550688000745,276184268.8
S02,SC-SHIL,10,1.0,0.0,0.0,3.0,0.2998871837411926,0.01905046870461876,0.8521019992257293,22.01458234000311,242390630.4
S02,SHIL-k8,10,0.5454545454545454,0.0,5.0,8.0,0.3021337781994963,0.019302242378231717,0.8506856231173611,0.5691860199964139,214330572.8
S03,L1-full,10,0.1741032225777988,0.05967443054708599,61.9,65.9,0.2853273866504075,0.07668348853970733,0.8763823641924748,0.5214240800007246,132541235.2
S03,L1-match,10,1.0,0.0,0.0,4.0,0.22831263493741116,0.023944317647418258,0.8912240803422881,0.5214240800007246,132573593.6
S03,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.23432377905170948,0.023306505427417787,0.8894314531954596,0.5214240800007246,132565811.2
S03,SC-L1,10,1.0,0.0,0.0,4.0,0.22831263493741116,0.023944317647418258,0.8912240803422881,15.257680540002184,199135232.0
S03,SC-SHIL,10,1.0,0.0,0.0,4.0,0.22831263493741116,0.023944317647418258,0.8912240803422881,21.24589087999193,165320294.4
S03,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.22974572418561787,0.022170646647033363,0.8915792113149555,0.4452060200012056,132580556.8
S04,L1-full,10,0.12392576299449769,0.2120201568387398,120.1,124.1,0.5283793635882528,0.1395569696985386,0.8205025574512771,0.14079628000326916,137538764.8
S04,L1-match,10,1.0,0.0,0.0,4.0,0.23914577047645133,0.03509887736209272,0.8960672952024786,0.14079628000326916,137588326.4
S04,L1-top8,10,0.6727272727272726,0.019165319152535634,3.9,7.9,0.25414803858777957,0.033949242648219156,0.8788466370871945,0.14079628000326916,137578905.6
