q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,2,0.21731606425156447,0.01228552076047995,3-12;10-12,shil,True,dry_bean_uci,dry_bean_uci,11,11
4,0.6,3,0.21855977194281362,0.01249675213444418,3-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
8,0.9,5,0.2169972118038546,0.012279397467490826,0-12;1-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,11,11
8,0.7,6,0.21778233370368102,0.012466714703189274,0-12;1-12;3-12;6-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
8,0.6,8,0.2143427006113398,0.01274945687120626,0-12;1-12;3-12;6-12;8-10;9-10;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
16,0.9,10,0.2143621854923026,0.012727383878960054,0-12;1-12;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
16,0.7,12,0.21437365721403195,0.012750303076923736,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
4,0.9,3,0.2129095724507422,0.012366249660991827,1-12;3-12;9-10,l1,True,dry_bean_uci,dry_bean_uci,11,11
8,0.9,6,0.21088330162911859,0.01235773645038008,1-12;3-12;4-11-14;7-12;9-10;10-12,l1,False,dry_bean_uci,dry_bean_uci,11,11
8,0.7,7,0.21054178921986913,0.012290333598538697,1-12;3-12;4-11-14;7-12;9-10;9-10-12;10-12,l1,False,dry_bean_uci,dry_bean_uci,11,11
8,0.6,8,0.2107948685073386,0.012368377783095658,1-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12,l1,False,dry_bean_uci,dry_bean_uci,11,11
16,0.9,12,0.21109158639929418,0.012512188726321143,1-12;2-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,11,11
16,0.8,14,0.210729148998336,0.012492458329791538,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,11,11
16,0.6,15,0.21062747617763145,0.012474325271062589,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-5-14;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,11,11
